"id","kode_divisi","tanggal","jenis","no_bukti","no_invoice","kode_coa","kode_nasabah","kode_customer","kode_sumberdaya","kode_spk","kode_tahap","kode_faktur","kode_alat","volume","keterangan","dk","rupiah","no_bapb","no_bpm","id_ap_payment","id_ar_receive","id_cashbook","id_unitprice","id_rik_tahap","kode_bank","kode_modul","bukti_potong","kode_batch","tr_level","no_terbit","posted_by","posted_date",
"105956","V","2016-04-01","K","280001/04/K/16","","11111","N760","","","5WGA05","","","","0","MANDOR SIGIT","K","15000000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105957","V","2016-04-01","K","280001/04/K/16","","11111","N760","","","5WGA05","","","","0","PPH PSL 21 MANDOR SIGIT","D","7200","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105958","V","2016-04-01","K","280001/04/K/16","","21113","N760","","","5WGA05","","","","0","280333/03/M/16, MDR SIGIT","D","15000000","","","","","","","","","GL","","0","PROYEK","280333/03/M/16","","0000-00-00 00:00:00",
"105959","V","2016-04-01","K","280001/04/K/16","","21121","N760","","","5WGA05","","","","0","PPH PSL 21 MANDOR SIGIT","K","7200","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105960","V","2016-04-01","M","280001/04/M/16","","21113","AGK0","","","5WGA05","","","","0","MANDOR AGUS S, 31 MAR'16","K","1170000","","","","","","","","","GL","","0","PROYEK","280001/04/M/16","","0000-00-00 00:00:00",
"105961","V","2016-04-01","M","280001/04/M/16","","41121","STG0","","700100","5WGA05","700000","","","0","PEK. HARIAN PERALATAN SDRMN","D","1170000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105962","V","2016-04-01","K","280002/04/K/16","","11111","N760","","","5WGA05","","","","0","MANDOR SIGIT","K","15000000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105963","V","2016-04-01","K","280002/04/K/16","","11111","N760","","","5WGA05","","","","0","PPH PSL 21 MANDOR SIGIT","D","7200","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105964","V","2016-04-01","K","280002/04/K/16","","21113","N760","","","5WGA05","","","","0","280433/03/M/16, MDR SIGIT","D","15000000","","","","","","","","","GL","","0","PROYEK","280433/03/M/16","","0000-00-00 00:00:00",
"105965","V","2016-04-01","K","280002/04/K/16","","21121","N760","","","5WGA05","","","","0","PPH PSL 21 MANDOR SIGIT","K","7200","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105966","V","2016-04-01","M","280002/04/M/16","","21113","AGK0","","","5WGA05","","","","0","MANDOR AGUS S, 31 MAR'16","K","3770000","","","","","","","","","GL","","0","PROYEK","280002/04/M/16","","0000-00-00 00:00:00",
"105967","V","2016-04-01","M","280002/04/M/16","","41121","HGMN","","DDKQ05","5WGA05","600000","","","0","PEK. HARIAN PERALATAN HGMN","D","3770000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"105968","V","2016-04-01","K","280003/04/K/16","","11111","HGMN","","","5WGA05","","","","0","MANDIRI TARIK TUNAI APR'16","D","200000000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
